"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
51,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",51,"Santa Rosa","Corregimiento","Municipality",NA,NA
52,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",52,"Santo Domingo","Corregimiento","Municipality",NA,NA
53,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",53,"Sortová","Corregimiento","Municipality",NA,NA
54,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",54,"Volcán","Corregimiento","Municipality",NA,NA
55,174,"PAN","Panama",2,"Chiriquí",9,"David",55,"Bijagual","Corregimiento","Municipality",NA,NA
56,174,"PAN","Panama",2,"Chiriquí",9,"David",56,"Chiriquí","Corregimiento","Municipality",NA,NA
57,174,"PAN","Panama",2,"Chiriquí",9,"David",57,"Cochea","Corregimiento","Municipality",NA,NA
58,174,"PAN","Panama",2,"Chiriquí",9,"David",58,"David","Corregimiento","Municipality",NA,NA
59,174,"PAN","Panama",2,"Chiriquí",9,"David",59,"Guacá","Corregimiento","Municipality",NA,NA
60,174,"PAN","Panama",2,"Chiriquí",9,"David",60,"Las Lomas","Corregimiento","Municipality",NA,NA
61,174,"PAN","Panama",2,"Chiriquí",9,"David",61,"Pedregal","Corregimiento","Municipality",NA,NA
62,174,"PAN","Panama",2,"Chiriquí",9,"David",62,"San Carlos","Corregimiento","Municipality",NA,NA
63,174,"PAN","Panama",2,"Chiriquí",9,"David",63,"San Pablo Nuevo","Corregimiento","Municipality",NA,NA
64,174,"PAN","Panama",2,"Chiriquí",9,"David",64,"San Pablo Viejo","Corregimiento","Municipality",NA,NA
65,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",65,"Dolega","Corregimiento","Municipality",NA,NA
66,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",66,"Dos Ríos","Corregimiento","Municipality",NA,NA
67,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",67,"Los Anastacios","Corregimiento","Municipality",NA,NA
68,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",68,"Potrerillos Abajo","Corregimiento","Municipality",NA,NA
69,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",69,"Potrerillos","Corregimiento","Municipality",NA,NA
70,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",70,"Rovira","Corregimiento","Municipality",NA,NA
71,174,"PAN","Panama",2,"Chiriquí",10,"Dolega",71,"Tinajas","Corregimiento","Municipality",NA,NA
72,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca",72,"Gualaca","Corregimiento","Municipality",NA,NA
